MA_ID,title,year_of_publication,GS_date_citations,GS_citations_2016,GS_citations_2017,GS_citations_2018,GS_citations_2019,GS_citations_2020,GS_citations_2021,GS_citations_2022,GS_citations_2023,GS_citations_2024,GS_citations_2025
MA_059,a global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes,2017,20260112,NA,5,29,52,51,77,70,57,64,71
MA_060,"metal accumulation by plants growing in china: capacity, synergy, and moderator effects",2020,20260112,NA,NA,NA,NA,0,4,8,3,9,6
MA_061,mass–abundance scaling in avian communities is maintained after tropical selective logging,2020,20260112,NA,NA,NA,NA,0,1,0,2,1,3
MA_062,long-term nitrogen loading alleviates phosphorus limitation in terrestrial ecosystems,2020,20260112,NA,NA,NA,NA,4,29,42,50,54,52
MA_063,patterns of predator neophobia: a meta-analytic review,2017,20260112,NA,0,11,10,12,14,22,18,30,18
MA_064,"development of emission factors and efficiency of two nitrification inhibitors, dcd and dmpp",2016,20260112,12,28,22,22,29,27,33,32,26,18
MA_065,plant diversity effect on water quality in wetlands: a meta-analysis based on experimental systems,2020,20260112,NA,NA,NA,NA,3,8,14,8,21,14
MA_066,"impacts of invasive plants on resident animals across ecosystems, taxa, and feeding types: a global assessment",2016,20260112,4,14,16,22,26,30,35,35,22,26
MA_067,wildlife species benefitting from a greener arctic are most sensitive to shrub cover at leading range edges,2018,20260112,NA,NA,7,6,5,7,4,3,4,6
MA_068,global dung webs: high trophic generalism of dung beetles along the latitudinal diversity gradient,2018,20260112,NA,1,3,7,12,9,9,15,11,7
MA_069,conservation tillage practices reduce nitrogen losses in the sloping upland of the three gorges reservoir area: no-till is better than mulch-till,2020,20260112,NA,NA,NA,NA,2,8,12,20,12,16
MA_070,water regulation by grasslands: a global meta-analysis,2018,20260112,NA,NA,0,2,5,5,4,8,6,7
MA_071,"foraging mode, relative prey size and diet breadth: a phylogenetically explicit analysis of snake feeding ecology",2019,20260112,NA,NA,NA,3,7,15,9,13,17,18
MA_072,the response of amphibian larvae to environmental change is both consistent and variable,2016,20260112,0,1,5,3,2,6,4,6,2,1
MA_073,meta-analysis of the hypocholesterolemic potentials of turmeric (curcuma longa) in broiler chickens,2020,20260112,NA,NA,NA,NA,0,0,0,1,0,0
MA_074,are long-term widespread avian body size changes related to food availability? a test using contemporaneous changes in carotenoid-based color,2017,20260112,NA,1,1,2,2,2,0,1,1,0
MA_075,climatic role of terrestrial ecosystem under elevated co2: a bottom-up greenhouse gases budget,2018,20260112,NA,NA,1,12,18,17,35,24,14,20
MA_076,meta-analyzing the likely cross-species responses to climate change,2019,20260112,NA,NA,NA,0,2,2,2,6,3,0
MA_077,miniaturization of biologgers is not alleviating the 5% rule,2018,20260112,NA,NA,3,7,8,23,21,11,10,18
MA_078,combination of 247 genome-wide association studies reveals high cancer risk as a result of evolutionary adaptation,2018,20251001,NA,NA,4,11,10,10,6,5,3,5
MA_079,biodiversity effects on ecosystem functioning respond unimodally to environmental stress,2018,20260112,NA,NA,1,8,11,11,17,17,23,18
MA_080,"genomic and transcriptomic insights into the ecology and metabolism of benthic archaeal cosmopolitan, thermoprofundales (mbg-d archaea)",2019,20260112,NA,NA,NA,7,22,28,28,12,16,19
MA_081,a review of biodiversity outcomes from possum-focused pest control in new zealand,2016,20260112,2,11,8,8,10,19,5,11,10,5
