Journal,Field,DAS,policy,policyYYYY,policyMM,policyLink,policyEditorial,lastUpdated
AQUATIC ECOLOGY,Ecology,strong,weak,NA,NA,https://www.springer.com/journal/10452/submission-guidelines?detailsPage=pltci_1060357,NA,12-05-2023
AQUATIC INVASIONS,Ecology,none,strong,2016,NA,http://www.aquaticinvasions.net/about.html,NA,12-06-2021
AQUATIC MICROBIAL ECOLOGY,Ecology,none,none,NA,NA,https://www.int-res.com/journals/ame/about-the-journal/; https://www.int-res.com/journals/guidelines-for-authors/guidelines-authors/,NA,15-03-2023
ARCTIC SCIENCE,Ecology,strong,weak,NA,NA,https://cdnsciencepub.com/authors-and-reviewers/author-guidelines#5e,NA,12-05-2023
AUSTRAL ECOLOGY,Ecology,strong,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/14429993/homepage/forauthors.html,NA,12-05-2023
AUSTRALIAN SYSTEMATIC BOTANY,Evolutionary Biology,strong,strong,2017,1,https://www.publish.csiro.au/sb/forauthors/AuthorInstructions#8,https://www.publish.csiro.au/sb/pdf/SBv29n1_ED,IN PROGRESS
BASIC AND APPLIED ECOLOGY,Ecology,none,none,NA,NA,https://www.elsevier.com/journals/basic-and-applied-ecology/1439-1791/guide-for-authors#86700,NA,15-03-2023
BEHAVIORAL ECOLOGY,Ecology,strong,strong,2016,1,https://academic.oup.com/beheco/pages/information_for_authors,https://academic.oup.com/beheco/article/27/1/1/1745116,12-06-2021
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Ecology,strong,strong,2020,NA,https://www.springer.com/life+sciences/behavioural/journal/265,NA,12-06-2021
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,Eco/Evo,weak,strong,NA,NA,https://www.elsevier.com/journals/biochemical-systematics-and-ecology/0305-1978/guide-for-authors#87500,NA,IN PROGRESS
BIODIVERSITY AND CONSERVATION,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/10531/submission-guidelines?gclid=Cj0KCQjwyerpBRD9ARIsAH-ITn-RylLh9Hjor6vvwWo9Bp6R3zA_Qz_ETLy-81cAnENl8IaK_iPIxJgaAp2sEALw_wcB,NA,12-05-2023
BIOGEOSCIENCES,Ecology,strong,strong,2018,11,https://www.biogeosciences.net/about/data_policy.html,https://www.copernicus.org/news_and_press/2018-11-05_enabling-fair-data-commitment-statement.html,12-06-2021
BIOLOGICAL CONSERVATION,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors#87500,NA,IN PROGRESS
BIOLOGICAL INVASIONS,Ecology,strong,weak,NA,NA,https://www.springer.com/journal/10530/submission-guidelines,NA,12-05-2023
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Evolutionary Biology,strong,weak,2021,NA,https://academic.oup.com/biolinnean/pages/General_Instructions,NA,12-05-2023
BIOLOGY LETTERS,Eco/Evo,strong,strong,2013,4,https://royalsocietypublishing.org/rsbl/for-authors#question4,NA,12-06-2021
BIOTROPICA,Ecology,strong,strong,2016,1,https://onlinelibrary.wiley.com/page/journal/17447429/homepage/forauthors.html,https://onlinelibrary.wiley.com/doi/full/10.1111/btp.12318,12-06-2021
BMC ECOLOGY,Ecology,strong,weak,2015,NA,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,http://blogs.biomedcentral.com/bmcblog/2011/07/07/availability-of-supporting-data-crediting-transparency-and-enhancing-the-literature/,12-05-2023
BMC EVOLUTIONARY BIOLOGY,Evolutionary Biology,strong,weak,2015,NA,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,http://blogs.biomedcentral.com/bmcblog/2011/07/07/availability-of-supporting-data-crediting-transparency-and-enhancing-the-literature/,12-05-2023
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,Ecology,none,none,NA,NA,https://www.amnh.org/research/scientific-publications/submissions,NA,15-03-2023
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,Ecology,none,none,NA,NA,http://peabody.yale.edu/sites/default/files/documents/scientific-publications/YPM-Bulletin-author-guide_1.pdfhttps://peabody.yale.edu/explore/publications/bulletin,NA,15-03-2023
CHEMISTRY AND ECOLOGY,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gche20,NA,12-05-2023
CHEMOECOLOGY,Ecology,none,weak,NA,NA,https://www.springer.com/journal/49/submission-guidelines,NA,12-05-2023
CLADISTICS,Evolutionary Biology,strong,strong,NA,NA,https://onlinelibrary.wiley.com/page/journal/10960031/homepage/forauthors.html,NA,12-06-2021
COMMUNITY ECOLOGY,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/42974/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,NA,12-05-2023
COMPOST SCIENCE & UTILIZATION,Ecology,strong,none,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ucsu20#data-sharing-policy,NA,12-05-2023
CONSERVATION BIOLOGY,Ecology,none,weak,NA,NA,https://conbio.onlinelibrary.wiley.com/hub/journal/15231739/homepage/forauthors.html,NA,12-05-2023
CONSERVATION PHYSIOLOGY,Ecology,strong,weak,NA,NA,https://academic.oup.com/conphys/pages/General_Instructions,NA,12-05-2023
CONTEMPORARY PROBLEMS OF ECOLOGY,Ecology,none,none,NA,NA,https://www.springer.com/journal/12259/submission-guidelines,NA,15-03-2023
CURRENT OPINION IN INSECT SCIENCE,Ecology,none,none,NA,NA,https://www.elsevier.com/journals/current-opinion-in-insect-science/2214-5745/guide-for-authors#87000,NA,IN PROGRESS
DEVELOPMENT GENES AND EVOLUTION,Evolutionary Biology,strong,weak,NA,NA,https://www.springer.com/journal/427/submission-guidelines,NA,12-05-2023
DIVERSITY AND DISTRIBUTIONS,Ecology,strong,strong,2019,1,https://onlinelibrary.wiley.com/page/journal/14724642/homepage/forauthors.html#policies,None,12-06-2021
ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,Ecology,none,none,NA,NA,https://ecomont.mountainresearch.at/images/pdfs/200416_guidelines_research.pdf,NA,15-03-2023
ECOGRAPHY,Ecology,strong,strong,2018,1,http://www.ecography.org/authors/author-guidelines,"""made public statements via our social media channels"" via person email",12-06-2021
ECOHYDROLOGY,Ecology,strong,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/19360592/homepage/forauthors.html,NA,12-05-2023
ECOHYDROLOGY & HYDROBIOLOGY,Ecology,weak,weak,NA,NA,https://www.elsevier.com/journals/ecohydrology-and-hydrobiology/1642-3593/guide-for-authors,NA,12-05-2023
ECOLOGICAL APPLICATIONS,Ecology,none,strong,2014,1,https://esajournals.onlinelibrary.wiley.com/hub/journal/19395582/resources/data-policy-eap,https://esajournals.onlinelibrary.wiley.com/doi/10.1890/1051-0761-24.1.1,12-06-2021
ECOLOGICAL COMPLEXITY,Ecology,weak,strong,NA,NA,https://www.elsevier.com/journals/ecological-complexity/1476-945x/guide-for-authors#87500,NA,IN PROGRESS
ECOLOGICAL ECONOMICS,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/ecological-economics/0921-8009/guide-for-authors#87500,NA,IN PROGRESS
ECOLOGICAL ENGINEERING,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/ecological-engineering/0925-8574/guide-for-authors#87500,NA,IN PROGRESS
ECOLOGICAL INFORMATICS,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/ecological-informatics/1574-9541/guide-for-authors#87500,NA,IN PROGRESS
ECOLOGICAL MANAGEMENT & RESTORATION,Ecology,weak,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/14428903/homepage/forauthors.html,NA,12-05-2023
ECOLOGICAL MODELLING,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/ecological-modelling/0304-3800/guide-for-authors#87500,NA,IN PROGRESS
ECOLOGICAL MONOGRAPHS,Ecology,none,strong,2011,1,https://esajournals.onlinelibrary.wiley.com/hub/journal/15577015/resources/data-availability-policy-ecm,https://esajournals.onlinelibrary.wiley.com/doi/10.1890/0012-9615-81.1.1,12-06-2021
ECOLOGICAL PROCESSES,Ecology,strong,weak,NA,NA,https://www.springeropen.com/get-published/editorial-policies#availability+of+data+and+materials,NA,12-05-2023
ECOLOGICAL RESEARCH,Ecology,none,weak,NA,NA,https://esj-journals.onlinelibrary.wiley.com/hub/journal/14401703/homepage/forauthors,NA,12-05-2023
ECOLOGICAL RESTORATION,Ecology,none,none,NA,NA,https://uwpress.wisc.edu/journals/journals/er_submissions.html,NA,15-03-2023
ECOLOGY,Ecology,strong,strong,2021,2,https://www.esa.org/publications/data-policy/ ; https://esajournals.onlinelibrary.wiley.com/hub/journal/19399170/resources/author-guidelines-ecy,NA,12-09-2022
ECOLOGY AND EVOLUTION,Eco/Evo,strong,strong,2018,NA,https://onlinelibrary.wiley.com/page/journal/20457758/homepage/forauthors.html,NA,12-06-2021
ECOLOGY AND SOCIETY,Ecology,weak,weak,2020,NA,https://www.ecologyandsociety.org/about/submissions.php,NA,12-05-2023
ECOLOGY LETTERS,Ecology,strong,strong,2016,NA,https://onlinelibrary.wiley.com/page/journal/14610248/homepage/forauthors.html,NA,12-06-2021
ECOSCIENCE,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?journalCode=teco20&page=instructions,NA,12-05-2023
ECOSPHERE,Ecology,strong,strong,2021,2,https://www.esa.org/publications/data-policy/ ; https://esajournals.onlinelibrary.wiley.com/hub/journal/21508925/resources/data-policy-ecs2,NA,12-09-2022
ECOSYSTEM HEALTH AND SUSTAINABILITY,Ecology,none,none,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tehs20#using-third-party-material,NA,15-03-2023
ECOSYSTEM SERVICES,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/ecosystem-services/2212-0416/guide-for-authors,NA,IN PROGRESS
ECOSYSTEMS,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/10021/submission-guidelines,NA,12-05-2023
ECOTOXICOLOGY,Ecology,none,weak,NA,NA,https://www.springer.com/journal/10646/submission-guidelines,NA,12-05-2023
ENVIRONMENTAL BIOLOGY OF FISHES,Ecology,strong,weak,NA,NA,https://www.springer.com/journal/10641/submission-guidelines,NA,12-05-2023
EUROPEAN JOURNAL OF SOIL BIOLOGY,Ecology,weak,strong,NA,NA,https://www.elsevier.com/journals/european-journal-of-soil-biology/1164-5563/guide-for-authors#87500,NA,IN PROGRESS
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/10344/submission-guidelines,NA,12-05-2023
EVODEVO,Evolutionary Biology,strong,strong,2013,7,https://evodevojournal.biomedcentral.com/submission-guidelines/preparing-your-manuscript/research,NA,12-06-2021
EVOLUTION,Eco/Evo,strong,strong,2011,1,https://onlinelibrary.wiley.com/page/journal/15585646/homepage/forauthors.html#mcr,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1558-5646.2009.00940.x,12-06-2021
EVOLUTION & DEVELOPMENT,Evolutionary Biology,strong,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/1525142x/homepage/forauthors.html,NA,12-05-2023
EVOLUTION LETTERS,Evolutionary Biology,none,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/20563744/homepage/forauthors.html,NA,12-05-2023
EVOLUTION MEDICINE AND PUBLIC HEALTH,Evolutionary Biology,strong,weak,NA,NA,https://academic.oup.com/emph/pages/Policies#Data%20deposition%20and%20availability%20of%20materials,NA,12-05-2023
EVOLUTIONARY APPLICATIONS,Evolutionary Biology,strong,strong,2011,1,https://onlinelibrary.wiley.com/page/journal/17524571/homepage/forauthors.html#section5,NA,IN PROGRESS
EVOLUTIONARY BIOINFORMATICS,Evolutionary Biology,weak,weak,NA,NA,https://us.sagepub.com/en-us/nam/evolutionary-bioinformatics/journal202656#submission-guidelines,NA,12-05-2023
EVOLUTIONARY BIOLOGY,Evolutionary Biology,strong,strong,2021,3,https://www.springer.com/life+sciences/evolutionary+%26+developmental+biology/journal/11692,NA,12-06-2021
EVOLUTIONARY ECOLOGY,Eco/Evo,weak,weak,NA,NA,https://www.springer.com/journal/10682/submission-guidelines?detailsPage=pltci_595467,NA,12-05-2023
EVOLUTIONARY ECOLOGY RESEARCH,Eco/Evo,none,none,NA,NA,http://www.evolutionary-ecology.com/advice/AdviceFrames.html,NA,15-03-2023
FIRE ECOLOGY,Ecology,strong,weak,2018,1,https://fireecology.springeropen.com/submission-guidelines/preparing-your-manuscript/original-research,NA,12-05-2023
FLORA,Ecology,strong,weak,2017,8,https://www.elsevier.com/journals/flora/0367-2530/guide-for-authors#87500,NA,IN PROGRESS
FRESHWATER BIOLOGY,Ecology,strong,weak,2019,5,https://onlinelibrary.wiley.com/page/journal/13652427/homepage/forauthors.html,NA,12-05-2023
FRESHWATER SCIENCE,Ecology,none,none,NA,NA,https://www.journals.uchicago.edu/journals/fws/instruct,NA,15-03-2023
FRONTIERS IN ECOLOGY AND EVOLUTION,Ecology,strong,strong,NA,NA,https://www.frontiersin.org/journals/ecology-and-evolution#author-guidelines,NA,12-06-2021
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,Ecology,none,none,NA,NA,https://esajournals.onlinelibrary.wiley.com/hub/journal/15409309/resources/author-guidelines-FEE,NA,IN PROGRESS
FUNCTIONAL ECOLOGY,Ecology,strong,strong,2014,1,https://besjournals.onlinelibrary.wiley.com/hub/journal/13652435/author-guidelines,https://besjournals.pericles-prod.literatumonline.com/doi/10.1111/1365-2435.12254,12-06-2021
FUNGAL ECOLOGY,Ecology,weak,weak,NA,NA,https://www.elsevier.com/journals/fungal-ecology/1754-5048/guide-for-authors#87500,NA,12-05-2023
GENOME BIOLOGY AND EVOLUTION,Evolutionary Biology,strong,strong,2009,NA,https://academic.oup.com/gbe/pages/General_Instructions,NA,12-06-2021
GLOBAL CHANGE BIOLOGY,Ecology,strong,strong,2019,NA,https://onlinelibrary.wiley.com/page/journal/13652486/homepage/forauthors.html,NA,12-06-2021
GLOBAL ECOLOGY AND BIOGEOGRAPHY,Ecology,strong,weak,2016,NA,https://onlinelibrary.wiley.com/page/journal/14668238/homepage/forauthors.html#manuscriptcategories,NA,12-05-2023
GLOBAL ECOLOGY AND CONSERVATION,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/global-ecology-and-conservation/2351-9894/guide-for-authors#87500,NA,IN PROGRESS
HEREDITY,Eco/Evo,strong,strong,NA,NA,https://www.nature.com/hdy/authors-and-referees/gta,NA,IN PROGRESS
HUMAN-WILDLIFE INTERACTIONS,Ecology,none,none,NA,NA,https://digitalcommons.usu.edu/hwi/styleguide.html,NA,12-05-2023
INSECT SYSTEMATICS & EVOLUTION,Evolutionary Biology,none,none,NA,NA,https://brill.com/fileasset/downloads_products/Author_Instructions/ISE.pdf,NA,12-05-2023
INTERCIENCIA,Ecology,none,none,NA,NA,https://www.interciencia.net/en/instructions-for-authors/,NA,12-05-2023
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,Ecology,weak,weak,NA,NA,https://www.elsevier.com/journals/international-journal-for-parasitology-parasites-and-wildlife/2213-2244/guide-for-authors,NA,12-05-2023
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?journalCode=tsdw20&page=instructions#dsp,NA,12-05-2023
INVERTEBRATE SYSTEMATICS,Evolutionary Biology,strong,weak,2021,6,https://www.publish.csiro.au/is/forauthors/AuthorInstructions,NA,12-05-2023
ISME JOURNAL,Ecology,strong,weak,NA,NA,https://www.nature.com/ismej/authors-and-referees/data-availability-and-policy,NA,12-05-2023
ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,Eco/Evo,none,none,NA,NA,https://brill.com/fileasset/downloads_products/Author_Instructions/IJEE.pdf,NA,12-05-2023
JOURNAL FOR NATURE CONSERVATION,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/journal-for-nature-conservation/1617-1381/guide-for-authors,NA,IN PROGRESS
JOURNAL OF ANIMAL ECOLOGY,Ecology,strong,strong,2014,1,https://besjournals.onlinelibrary.wiley.com/hub/open-data-virtual-issue,https://besjournals.onlinelibrary.wiley.com/doi/epdf/10.1111/1365-2656.12176,12-06-2021
JOURNAL OF APPLIED ECOLOGY,Ecology,strong,strong,2014,1,https://besjournals.onlinelibrary.wiley.com/hub/editorial-policies#archiving,NA,12-06-2021
JOURNAL OF ARID ENVIRONMENTS,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/journal-of-arid-environments/0140-1963/guide-for-authors,NA,IN PROGRESS
JOURNAL OF BIOGEOGRAPHY,Ecology,strong,strong,2018,NA,https://onlinelibrary.wiley.com/page/journal/13652699/homepage/forauthors.html,NA,12-06-2021
JOURNAL OF BIOLOGICAL DYNAMICS,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tjbd20#dsp,NA,12-05-2023
JOURNAL OF CHEMICAL ECOLOGY,Ecology,none,weak,NA,NA,https://www.springer.com/life+sciences/ecology/journal/10886?detailsPage=editorialBoard,NA,12-05-2023
JOURNAL OF ECOLOGY,Ecology,strong,strong,2014,1,https://besjournals.onlinelibrary.wiley.com/hub/editorial-policies#archiving,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2745.12352,12-06-2021
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,Evolutionary Biology,none,none,NA,NA,https://www.springer.com/journal/10893/submission-guidelines,NA,12-05-2023
JOURNAL OF EVOLUTIONARY BIOLOGY,Eco/Evo,none,strong,2011,NA,https://onlinelibrary.wiley.com/page/journal/14209101/homepage/forauthors.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4979694/pdf/ECE3-6-4605.pdf,12-06-2021
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Ecology,weak,strong,NA,NA,https://www.elsevier.com/journals/journal-of-experimental-marine-biology-and-ecology/0022-0981/guide-for-authors#87500,NA,IN PROGRESS
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,Evolutionary Biology,weak,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/15525015/homepage/forauthors.html,NA,12-05-2023
JOURNAL OF FISH AND WILDLIFE MANAGEMENT,Ecology,none,strong,2010,None,https://www.fws.gov/science/guideforauthors.html,https://www.fwspubs.org/doi/full/10.3996/1944-687X-2.1.1?=,12-06-2021
JOURNAL OF FRESHWATER ECOLOGY,Ecology,strong,strong,2018,10,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tjfe20,NA,12-06-2021
JOURNAL OF HEREDITY,Evolutionary Biology,none,strong,2013,1,https://academic.oup.com/jhered/pages/Policies,https://academic.oup.com/jhered/article/104/1/1/775539,12-06-2021
JOURNAL OF HUMAN EVOLUTION,Evolutionary Biology,weak,strong,2019,None,https://www.elsevier.com/journals/journal-of-human-evolution/0047-2484/guide-for-authors,NA,12-06-2021
JOURNAL OF MOLECULAR EVOLUTION,Evolutionary Biology,none,weak,NA,NA,https://www.springer.com/journal/239/submission-guidelines,NA,12-05-2023
JOURNAL OF NATURAL HISTORY,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tnah20,NA,12-05-2023
JOURNAL OF PLANT ECOLOGY,Ecology,none,weak,NA,NA,https://academic.oup.com/jpe/pages/General_Instructions,NA,12-05-2023
JOURNAL OF SOIL AND WATER CONSERVATION,Ecology,none,none,NA,NA,https://www.jswconline.org/content/information-authors,NA,12-05-2023
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,Evolutionary Biology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tjsp20,NA,12-05-2023
JOURNAL OF TROPICAL ECOLOGY,Ecology,none,none,NA,NA,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/information/instructions-contributors,NA,12-05-2023
JOURNAL OF VEGETATION SCIENCE,Ecology,strong,strong,NA,NA,https://onlinelibrary.wiley.com/page/journal/16541103/homepage/forauthors.html,NA,IN PROGRESS
JOURNAL OF WILDLIFE MANAGEMENT,Ecology,weak,weak,NA,NA,https://wildlife.onlinelibrary.wiley.com/hub/journal/19372817/forauthors.html,NA,12-05-2023
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,Evolutionary Biology,none,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/14390469/homepage/forauthors.html,NA,12-05-2023
LANDSCAPE AND ECOLOGICAL ENGINEERING,Ecology,none,weak,NA,NA,https://www.springer.com/journal/11355/submission-guidelines,NA,12-05-2023
LANDSCAPE AND URBAN PLANNING,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/landscape-and-urban-planning/0169-2046/guide-for-authors#87500,NA,IN PROGRESS
LANDSCAPE ECOLOGY,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/10980/submission-guidelines,NA,12-05-2023
MAMMAL REVIEW,Ecology,none,weak,NA,NA,https://onlinelibrary.wiley.com/page/journal/13652907/homepage/forauthors.html,NA,12-05-2023
MARINE BIOLOGY RESEARCH,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=smar20,NA,12-05-2023
MARINE ECOLOGY PROGRESS SERIES,Ecology,none,none,NA,NA,https://www.int-res.com/journals/guidelines-for-authors/guidelines-authors/,NA,12-05-2023
METHODS IN ECOLOGY AND EVOLUTION,Ecology,strong,strong,2014,1,https://besjournals.onlinelibrary.wiley.com/hub/journal/2041210X/author-guidelines,https://besjournals.onlinelibrary.wiley.com/doi/epdf/10.1111/1365-2656.12176,12-06-2021
MICROBIAL ECOLOGY,Ecology,weak,weak,NA,NA,https://www.springer.com/journal/248/submission-guidelines,NA,12-05-2023
MOLECULAR BIOLOGY AND EVOLUTION,Evolutionary Biology,strong,strong,2011,NA,https://academic.oup.com/mbe/pages/General_Instructions,NA,12-06-2021
MOLECULAR ECOLOGY,Eco/Evo,strong,strong,2011,1,https://onlinelibrary.wiley.com/page/journal/1365294x/homepage/forauthors.html,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2009.04450.x,12-06-2021
MOLECULAR ECOLOGY RESOURCES,Eco/Evo,strong,strong,2011,1,https://onlinelibrary.wiley.com/page/journal/17550998/homepage/forauthors.html#ed_policy,NA,12-06-2021
MOLECULAR PHYLOGENETICS AND EVOLUTION,Evolutionary Biology,strong,weak,NA,NA,https://www.elsevier.com/journals/molecular-phylogenetics-and-evolution/1055-7903/guide-for-authors,NA,12-05-2023
MOVEMENT ECOLOGY,Ecology,strong,weak,2017,NA,https://movementecologyjournal.biomedcentral.com/submission-guidelines/preparing-your-manuscript,NA,12-05-2023
NATURAL AREAS JOURNAL,Ecology,none,none,NA,NA,https://www.naturalareas.org/docs/Guidelines_for_Authors_2020.pdf,NA,12-05-2023
NATURE ECOLOGY & EVOLUTION,Eco/Evo,strong,weak,2016,9,https://www.nature.com/nature-research/editorial-policies/reporting-standards#availability-of-data,https://www.nature.com/articles/537138a,12-05-2023
NEOBIOTA,Ecology,none,weak,NA,NA,https://neobiota.pensoft.net/about#DataPublishingGuidelines,NA,12-05-2023
NEW ZEALAND JOURNAL OF ECOLOGY,Ecology,strong,weak,NA,NA,https://newzealandecology.org/nzje/notice-contributors,NA,12-05-2023
NORTHEASTERN NATURALIST,Ecology,none,none,NA,NA,https://www.eaglehill.us/programs/journals/nena/NENA-submission-and-publishing-considerations.pdf,NA,12-05-2023
NORTHWEST SCIENCE,Ecology,none,none,NA,NA,https://www.northwestscience.org/resources/Documents-Membership-Journal/Instructions-2017_Submitting-NWScience.pdf,NA,12-05-2023
OECOLOGIA,Ecology,strong,weak,NA,NA,https://www.springer.com/journal/442/submission-guidelines,NA,12-05-2023
OIKOS,Ecology,strong,strong,2018,1,http://www.oikosjournal.org/authors/author-guidelines,NA,12-06-2021
ORGANISMS DIVERSITY & EVOLUTION,Evolutionary Biology,strong,weak,2018,4,https://www.springer.com/journal/13127/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,NA,12-05-2023
ORYX,Ecology,weak,none,NA,NA,https://www.oryxthejournal.org/authors/guidelines-for-authors/,NA,12-05-2023
PALEOBIOLOGY,Eco/Evo,none,none,NA,NA,https://www.cambridge.org/core/journals/paleobiology/information/instructions-contributors; https://www.cambridge.org/core/services/authors/research-transparency,NA,12-05-2023
PEDOBIOLOGIA,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/pedobiologia/0031-4056/guide-for-authors,NA,IN PROGRESS
