"MA_ID","year","DOI","journal_clean","authors_simple","five_year_impact_factor_2018","policy","policyYYYY","policy_in_place","GS_date_citations","GS_total_citations","GS_6_first_years","GS_6_first_years_per_year"
"MA_073",2020,"10.15666/aeer/1806_80098021","applied ecology & environmental research","Ogbuewu_et_al",0.689,"none",NA,FALSE,20260112,1,1,0.166666666666667
"MA_064",2016,"10.1016/j.agee.2015.09.030","agriculture ecosystems & environment","Gilsanz_et_al",3.954,"strong",2017,FALSE,20260112,249,140,23.3333333333333
"MA_067",2018,"10.1111/gcb.13837","global change biology","Wheeler_et_al",8.88,"strong",2019,FALSE,20260112,42,32,5.33333333333333
"MA_024",2018,"10.1111/gcb.13969","global change biology","Sepp_et_al",8.88,"strong",2019,FALSE,20260112,201,142,23.6666666666667
"MA_002",2020,"10.1111/1365-2664.13542","journal of applied ecology","Watson_et_al",5.782,"strong",2014,TRUE,20260112,168,168,28
"MA_066",2016,"10.1111/gcb.13093","global change biology","Schirmel_et_al",8.88,"strong",2019,FALSE,20260112,230,112,18.6666666666667
"MA_070",2018,"10.1002/eco.1934","ecohydrology","Sirimarco_et_al",2.564,"weak",2017,TRUE,20260112,37,24,4
"MA_063",2017,"10.1098/rspb.2017.0583","proceedings of the royal society b-biological sciences","Crane_et_al",4.304,"strong",2014,TRUE,20260112,135,69,11.5
"MA_033",2019,"10.1111/ele.13261","ecology letters","Tomasetto_et_al",8.699,"strong",2016,TRUE,20260112,59,51,8.5
"MA_037",2020,"10.1098/rspb.2020.1853","proceedings of the royal society b-biological sciences","Poirier_et_al",4.304,"strong",2014,TRUE,20260112,51,51,8.5
"MA_058",2018,"10.1111/1365-2664.13193","journal of applied ecology","Siviter_et_al",5.782,"strong",2014,TRUE,20260112,219,155,25.8333333333333
"MA_055",2019,"10.1111/ecog.03926","ecography","Montesinos-Navarro_et_al",5.946,"strong",2018,TRUE,20260112,50,42,7
"MA_051",2020,"10.1111/geb.13028","global ecology & biogeography","He_et_al",5.667,"weak",2016,TRUE,20260112,125,125,20.8333333333333
"MA_072",2016,"10.1111/oik.03166","oikos","Edge_et_al",3.468,"strong",2018,FALSE,20260112,30,17,2.83333333333333
"MA_009",2017,"10.1111/fwb.12888","freshwater biology","Sievers_et_al",3.404,"weak",2019,FALSE,20260112,43,32,5.33333333333333
"MA_043",2017,"10.1111/geb.12638","global ecology & biogeography","Branoff",5.667,"weak",2016,TRUE,20260112,91,57,9.5
"MA_029",2020,"10.1002/jwmg.21807","journal of wildlife management","Arnold_et_al",1.881,"weak",2022,FALSE,20260112,35,35,5.83333333333333
"MA_030",2019,"10.1002/ecy.2552","ecology","Peng_et_al",4.285,"strong",2021,FALSE,20260112,161,140,23.3333333333333
"MA_005",2019,"10.1111/geb.13017","global ecology & biogeography","He_et_al",5.667,"weak",2016,TRUE,20260112,64,64,10.6666666666667
"MA_054",2020,"10.1111/ele.13527","ecology letters","Filazzola_et_al",8.699,"strong",2016,TRUE,20260112,303,303,50.5
"MA_025",2019,"10.1111/mec.14920","molecular ecology","Lamb_et_al",5.855,"strong",2011,TRUE,20260112,460,369,61.5
"MA_052",2016,"10.1111/aec.12303","austral ecology","Gantchoff_et_al",1.403,"weak",NA,NA,20260112,22,10,1.66666666666667
"MA_039",2020,"10.1111/gcb.14970","global change biology","Deng_et_al",8.88,"strong",2019,TRUE,20260112,181,181,30.1666666666667
"MA_018",2020,"10.1111/1365-2664.13597","journal of applied ecology","Wu_et_al",5.782,"strong",2014,TRUE,20260112,199,199,33.1666666666667
"MA_012",2019,"10.1111/eva.12865","evolutionary applications","Tepolt_et_al",5.038,"strong",2011,TRUE,20260112,26,26,4.33333333333333
"MA_046",2018,"10.1111/gcb.14163","global change biology","Dai_et_al",8.88,"strong",2019,FALSE,20260112,793,435,72.5
"MA_074",2016,"10.1002/ece3.2739","ecology & evolution","Little_et_al",2.415,"strong",2018,FALSE,20260112,10,8,1.33333333333333
"MA_075",2018,"10.1111/ele.13078","ecology letters","Liu_et_al",8.699,"strong",2016,TRUE,20260112,141,107,17.8333333333333
"MA_076",2019,"10.1002/ece3.5617","ecology & evolution","Ortega_et_al",2.415,"strong",2018,TRUE,20260112,15,15,2.5
"MA_077",2018,"10.1111/2041-210X.13013","methods in ecology & evolution","Portugal_et_al",7.099,"strong",2014,TRUE,20260112,101,73,12.1666666666667
"MA_078",2018,"10.1093/molbev/msx305","molecular biology & evolution","Voskarides",14.797,"strong",2011,TRUE,20251001,54,46,7.66666666666667
"MA_079",2018,"10.1111/ele.13088","ecology letters","Baert_et_al",8.699,"strong",2016,TRUE,20260112,106,65,10.8333333333333
"MA_080",2019,"10.1038/s41396-018-0321-8","isme journal","Zhou_et_al",9.493,"weak",2022,FALSE,20260112,132,113,18.8333333333333
"MA_081",2016,"10.1071/WR15132","wildlife research","Byrom_et_al",1.244,"weak",2021,FALSE,20260112,89,58,9.66666666666667
